,director,sum_power,wciar_power
41,nm0001532,198035958.56873384,721477.5641830759
42,nm0000343,1762284.9104972857,23007.34056665149
43,nm0000361,174427581.39759126,1256623.946490637
44,nm0000362,26389459.716967158,258566.38804523819
45,nm0000382,1720140.7657602427,89172.30163615057
46,nm0000386,498149983.8394184,42067515.620679624
47,nm0000398,2122523.333367876,19576.82236055708
48,nm0000399,254824030.685862,16038488.8316012
49,nm0000408,53805624.37210563,506930.4467991465
50,nm0000412,241956.62898252826,6810.473650784604
51,nm0000416,27310809.92237746,632904.5158229864
52,nm0000431,50819440.62813373,2100043.731300652
53,nm0000436,85444403.85725972,1492264.7775526256
54,nm0000776,106801930.64112419,3506300.6599027202
55,nm0000438,297527.2116846373,16356.731441351514
56,nm0000464,98981.8071482942,16606.391585972768
57,nm0000466,27134536.07797707,135235.77769833905
58,nm0001988,58533.01977850163,176.90519727561121
59,nm0000473,20901877.62777385,192785.79362977002
60,nm0000484,22037031.453274574,53282.27262304673
61,nm0000487,141208001.49441287,18710007.688000023
62,nm0000490,90799838.13869095,7727938.948314212
63,nm0000498,1639.7147637225107,220.07879015489232
64,nm0000500,46316659.802425414,1036643.5880145642
65,nm0000517,882622.3424075972,49015.435054306174
66,nm0000519,11612541.164385982,137207.48212976413
67,nm0000520,154758255.13092777,5545019.240094413
68,nm0000559,23538735.079237435,11935.556660723467
69,nm0000568,111808930.40881091,1382559.1838364378
70,nm0000570,19182058.958322167,189374.74895930948
71,nm0000576,8612855.505162764,99299.4632797363
72,nm0000583,244329809.46464413,3384398.4044376034
73,nm0000591,13574297.244287144,102612.69401158455
74,nm0000600,619228992.9420078,29938670.884290963
75,nm0000601,88586072.88806963,2261043.451653813
76,nm0000602,29852816.370788872,887888.33538846
77,nm0000626,364844.82849722775,5553.223003387641
78,nm0000631,506391301.7009026,55787440.5237048
79,nm0000671,2008231.5915119797,18269.94140468753
80,nm0000682,187949421.87701607,688750.1783328583
81,nm0000691,3621065.0739484397,8755.198124802064
82,nm0000709,482310598.7897723,14701855.474307917
83,nm0000720,31378081.08895553,88029.14328665209
84,nm0000750,56282192.16762196,577524.4876746275
85,nm0000759,619667.193151734,13051.34576701308
86,nm0000770,235687.2638848921,6634.0067112998295
87,nm0000788,4213352.122605211,10187.2603362911
88,nm0000797,1407958.455580448,233.93722450745358
89,nm0000806,3122789.531041667,6040.3534292776585
90,nm0000812,3709047.890614423,52763.59892336384
91,nm0000816,19474740.02597094,1070635.155323487
92,nm0000824,10735112.100280562,25955.908388973243
93,nm0000829,26770300.43399668,385800.6881892602
94,nm0000837,600390.0913625103,475.6780373042307
95,nm0000876,170506.29120481928,4799.325434589688
96,nm0000881,828424745.8019935,80642177.81548437
97,nm0000886,53590005.31812064,610365.6847485345
98,nm0000887,20692274.53880496,238565.68295016992
99,nm0000907,1236988.11971831,22283.59694010047
100,nm0000914,18614165.86701581,91710.52264483833
101,nm0000915,38765621.69408934,272748.52087810193
102,nm0000916,220581022.01463327,24604476.257225685
103,nm0000921,15707240.660324713,40586.6336157365
104,nm0000934,203768.23497542326,3670.762188421043
105,nm0000941,21078289.09374998,494985.6719080369
106,nm0000944,1649911.8188727275,12174.200426773548
107,nm0000948,233513731.75579908,49880928.48938845
108,nm0000953,782675.7446685082,1513.9150657853886
109,nm0000957,203955145.83184248,1390717.3972628666
110,nm0000958,2727264.027105562,31443.213455906767
111,nm0000965,57390112.31723115,11847627.864513315
112,nm0000976,29272697.44363152,237213.9844554591
113,nm0000983,6147137.8644524235,45357.871588545386
114,nm0000985,58927349.85130389,1158950.7392141032
115,nm0001005,229768.57857377682,15789.576489964453
116,nm0001024,90809330.56118384,7615156.820549676
117,nm0001040,16631961.825763887,153402.77162178693
118,nm0001053,84079722.76429014,8309947.154119093
119,nm0001054,84079722.76429014,8309947.154119093
120,nm0001060,457346652.84490865,14672488.961159611
121,nm0001068,8768031.287764432,282981.16860901954
122,nm0001081,93276696.81465057,3746502.539332278
123,nm0001093,15470623.187229885,251407.8120861694
124,nm0001102,13210062.552422766,237971.33115452869
125,nm0325196,16856806.98668935,264879.5556669849
126,nm0001104,47653612.69693112,782323.363501395
127,nm0001112,48360724.45719349,746269.0997543102
128,nm0001129,74900515.56637764,2635238.3594865515
129,nm0001130,50597380.31934112,449614.83238518593
130,nm0001149,218193276.7475633,688990.9970433946
131,nm0504513,44600278.2029746,4742.715072575179
132,nm0001162,26361288.56632218,1039276.5118887869
133,nm0001175,4538432.063159693,2876.573064479718
134,nm0001188,118831551.32592075,2727064.704782492
135,nm0001214,142240.74802101575,1311.9393377983447
136,nm0001219,80988723.70905156,2348734.87986859
137,nm0001226,106528481.49919051,41430961.66786362
138,nm0001232,11681175.017647058,86191.85841229808
139,nm0001239,27658123.812315553,172677.59599862603
140,nm0001241,17628975.435706656,2497924.2012406606
141,nm0001243,42069341.522154056,556340.013733812
142,nm0001274,18400196.96386482,9330.00829022437
143,nm0001281,68958.82813333333,85.3668944084526
144,nm0001282,20827959.106789455,381268.02068928
145,nm0001302,686972.3860362694,5985.719725396054
146,nm0001317,174965359.40778336,3239377.225436948
147,nm0001331,304836.09143960284,4393.151065012721
148,nm0001338,88972402.77541143,5716942.212850012
149,nm0001348,296730.45641381224,20391.161696391642
150,nm0001353,36052992.867875166,240425.10733338562
151,nm0001355,23536639.16557562,2447757.0515440516
152,nm0001361,6730166.257958068,2730.079774891628
153,nm0001372,11942731.596917687,110152.25665467272
154,nm0001382,48235833.82917254,443784.12012770335
155,nm0001392,329467345.35987926,5840345.567080736
156,nm0001401,34218559.27508797,7181713.796009067
157,nm0001403,80694898.31301294,213946.52853100898
158,nm0001405,11958756.32075862,110300.0586444455
159,nm0001408,10349874.342123501,145423.53492925267
160,nm0001410,34673144.700844616,416671.2111005125
161,nm0001438,60549850.765142985,3192943.098412737
162,nm0001441,150819.6139110861,1738.8317619459335
163,nm0001460,34458047.950524,227894.7321867065
164,nm0001469,86493930.13543934,610710.2922906652
165,nm0001486,4304420.502732257,54436.030137452275
166,nm0001490,20494633.848928653,295050.99663954583
167,nm0001502,44858382.63135059,419996.07794000977
168,nm0001508,25580031.17004982,39583.180989465975
169,nm0001565,194306435.53601602,7262589.107307998
170,nm0001566,46644161.7102444,924564.2888920015
171,nm0001570,15896437.669769648,2392171.9745690827
172,nm0001587,23337206.5234125,110206.84188997018
